Channel_name,Subscribers,Views,TotalVd,playlist_id
Round2hell,28100000,2879446801,65,UUt4atlExw8aj3Bm79nv1fig
Dr. Vivek Bindra: Motivational Speaker,20200000,1576597812,764,UUR-foyF-C6VuAlwy3KZMkgA
sc0ut,4650000,569542705,1062,UUYxMATvBqKQx7utYcYK3waA
Amit Bhadana,24300000,2301401584,95,UU_vcKmg67vjMP7ciLnSxSHQ
Technical Guruji,22700000,3204964365,4764,UUOhHO2ICt0ti9KAh-QHvttQ
Sourav Joshi Vlogs,18700000,7284505473,1168,UUjvgGbPPn-FgYeguc5nxG4A
CarryMinati,37500000,3089203286,180,UUj22tfcQrWG7EMEKS0qLeEg
AS Gaming,19100000,2667373922,1122,UUMrvxKTx9hLhZcOvJkYOnAw
Techno Gamerz,30300000,8073368067,880,UUX8pnu3DYUnx8qy8V_c6oHg
PR1NCE,271,4871,48,UUBXBEskxoCmU-TbErz_b-sQ
T-Series,231000000,209468554025,18217,UUq-Fj5jknLsUf-MWSy4_brA
BB Ki Vines,25600000,4479284295,186,UUqwUrj10mAEsqezcItqvwEw
FactTechz,17600000,2157159110,612,UUGdPm5Aq081vVD7ih9jZf6Q
Total Gaming,34000000,6128239818,1955,UU5c9VlYTSvBSCaoMu_GI6gQ
ashish chanchlani vines,28900000,4178988719,147,UU7eHZXheF8nVOfwB2PEslMw
Sandeep Maheshwari,26400000,2113006468,555,UUBqFKDipsnzvJdt6UT0lMIg
